Index;Fuel type;Body type;Engine;Gearbox;Doors;Seats;Emission;Service history
1068;Petrol;Coupe;2.5L;Manual;2;;Euro 2;Null
1069;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Full
1070;Petrol;Hatchback;1.4L;Manual;3;5;Euro 6;Full
1071;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1072;Petrol;Hatchback;1.3L;Manual;5;5;Euro 5;Null
1073;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Full
1074;Diesel;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1075;Diesel;Hatchback;1.4L;Manual;5;5;Euro 6;Null
1077;Diesel;Hatchback;1.4L;Manual;5;5;Euro 6;Null
1078;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
1079;Petrol;MPV;1.6L;Manual;5;7;Euro 4;Full
1080;Diesel;Saloon;2.1L;Automatic;4;5;Euro 5;Null
1081;Petrol;Convertible;2.0L;Manual;2;4;Euro 4;Null
1082;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1083;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Null
1084;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Full
1085;Diesel;MPV;1.7L;Automatic;5;5;Euro 5;Null
1086;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 5;Null
1087;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1088;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1089;Diesel;Hatchback;1.4L;Manual;5;5;Euro 6;Null
1091;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1092;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1093;Diesel;Estate;2.0L;Manual;5;5;Euro 5;Null
1094;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
1095;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Full
1096;Petrol;Minibus;2.0L;Automatic;;7;Null;
1097;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1098;Petrol;Hatchback;1.6L;Manual;3;4;Euro 5;Null
1099;Petrol;SUV;1.6L;Manual;5;5;Euro 5;Null
1100;Petrol;Hatchback;1.8L;Manual;3;5;Euro 4;Null
1101;Petrol;Hatchback;1.2L;Automatic;3;5;Euro 5;Null
1102;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
1103;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1105;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1106;Petrol;Hatchback;1.4L;Automatic;3;5;Euro 5;Null
1107;Petrol;Hatchback;1.1L;Manual;3;5;Euro 4;Null
1108;Petrol;Estate;1.8L;Manual;5;5;Euro 5;Full
1109;Petrol;Saloon;1.8L;Manual;4;5;Euro 4;Null
1110;Diesel;Hatchback;2.1L;Automatic;5;5;Euro 6;Null
1111;Petrol;Hatchback;2.0L;Manual;3;5;Euro 4;Null
1112;Petrol;Hatchback;1.3L;Automatic;5;5;Null;
1113;Petrol;Hatchback;1.4L;Automatic;5;5;Euro 6;Full
1114;Petrol;Hatchback;2.0L;Automatic;5;5;Euro 4;Full
1115;Petrol;Hatchback;2.0L;Automatic;5;5;Euro 3;Null
1116;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1117;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
1119;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
1120;Diesel;Saloon;1.6L;Manual;4;5;Euro 6;Full
1121;Petrol;Hatchback;1.2L;Manual;3;4;Euro 5;Full
1122;Petrol;Hatchback;1.4L;Manual;3;5;Euro 5;Null
1123;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1124;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Full
1125;Diesel;SUV;3.0L;Automatic;5;5;Euro 4;Null
1126;Petrol;Convertible;3.2L;Automatic;2;4;Euro 4;Null
1127;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
1128;Petrol;Coupe;3.0L;Automatic;2;5;Euro 3;Full
1129;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
1130;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
1131;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1133;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
1134;Petrol;Hatchback;1.3L;Manual;3;5;Euro 5;Full
1135;Petrol;Hatchback;1.6L;Automatic;3;4;Euro 5;Null
1136;Petrol;Hatchback;2.0L;Manual;5;5;Euro 4;Null
1137;Petrol;Coupe;3.0L;Automatic;2;5;Euro 4;Null
1138;Petrol;Hatchback;1.6L;Manual;3;5;Euro 4;Null
1139;Petrol;Hatchback;1.4L;Automatic;5;5;Euro 4;Null
1140;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1141;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1142;Diesel;Coupe;2.0L;Manual;2;4;Euro 6;Null
1143;Diesel;SUV;2.0L;Manual;5;5;Euro 6;Null
1144;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1145;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1147;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1148;Diesel;Hatchback;2.0L;Manual;5;5;Euro 5;Full
1149;Petrol;Convertible;2.0L;Manual;2;;Euro 1;Null
1150;Petrol;Saloon;1.8L;Automatic;4;5;Euro 4;Null
1151;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1152;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1153;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
1154;Diesel;Saloon;3.0L;Automatic;4;5;Euro 4;Null
1155;Petrol;MPV;1.6L;Automatic;5;5;Euro 4;Null
1156;Diesel;SUV;1.5L;Manual;5;5;Euro 5;Full
1157;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1158;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1159;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1161;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1162;Petrol;Hatchback;1.4L;Automatic;5;5;Euro 4;Null
1163;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
1164;Petrol;Saloon;2.4L;Automatic;4;5;Euro 4;Null
1165;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1166;Petrol;SUV;1.6L;Manual;5;5;Euro 5;Null
1167;Diesel;Hatchback;1.5L;Manual;5;5;Euro 5;Null
1168;Petrol;Coupe;1.8L;Automatic;2;4;Euro 4;Full
1169;Petrol;Saloon;1.8L;Automatic;4;5;Euro 4;Null
1170;Petrol;Hatchback;1.5L;Manual;3;5;Euro 6;Null
1171;Diesel;SUV;1.5L;Manual;5;7;Euro 5;Null
1172;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1173;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1175;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1176;Petrol;Hatchback;1.6L;Manual;3;4;Euro 4;Null
1177;Petrol;Hatchback;1.4L;Automatic;5;5;Euro 4;Full
1178;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1179;Petrol;Hatchback;2.0L;Manual;3;5;Euro 4;Null
1180;Petrol;Hatchback;1.4L;Manual;3;4;Euro 4;Null
1181;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Full
1182;Petrol;Hatchback;2.0L;Automatic;3;4;Euro 4;Null
1183;Petrol Hybrid;Hatchback;1.5L;Automatic;;5;Null;
1184;Petrol;MPV;1.6L;Automatic;5;5;Euro 5;Null
1185;Petrol;Hatchback;2.3L;Automatic;5;5;Euro 4;Null
1186;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
1187;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1189;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1190;Petrol;Hatchback;1.0L;Manual;5;5;Euro 5;Null
1191;Petrol;Hatchback;1.0L;Manual;5;5;Euro 5;Null
1192;Petrol;Hatchback;1.0L;Manual;5;4;Euro 5;Full
1193;Petrol;Hatchback;1.0L;Manual;5;4;Euro 5;Null
1194;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 3;Null
1195;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1196;Petrol;Hatchback;1.2L;Manual;3;4;Euro 6;Null
1197;Petrol;Saloon;2.5L;Automatic;4;5;Euro 4;Null
1198;Petrol;Hatchback;1.2L;Automatic;5;5;Null;
1199;Petrol;Convertible;2.0L;Manual;2;;Euro 1;Null
1200;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
1201;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
1203;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1204;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Full
1205;Petrol;Hatchback;1.2L;Automatic;;5;Null;
1206;Petrol;Hatchback;1.4L;Manual;5;5;Euro 2;Null
1207;Petrol;Saloon;2.5L;Automatic;;;Null;
1208;Petrol;Hatchback;1.8L;Manual;3;5;Euro 4;Full
1209;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1211;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1212;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Full
1213;Petrol;Saloon;3.2L;Automatic;4;5;Euro 4;Null
1214;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
1215;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1217;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
1218;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
1219;Petrol;Hatchback;1.6L;Manual;3;4;Euro 4;Null
1220;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
1221;Diesel;Hatchback;1.6L;Automatic;5;5;Euro 5;Full
1222;Petrol Hybrid;Hatchback;1.8L;Automatic;5;5;Euro 5;Null
1223;Petrol;Coupe;1.4L;Manual;3;5;Euro 5;Full
1224;Diesel;SUV;1.7L;Manual;5;5;Euro 5;Null
1225;Petrol;Hatchback;1.2L;Manual;3;4;Euro 6;Null
1226;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1227;Petrol;Hatchback;1.3L;Manual;5;5;Euro 5;Null
1228;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
1229;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
1231;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
1232;Petrol;SUV;1.6L;Manual;5;5;Euro 5;Full
1233;Petrol;Hatchback;1.8L;Automatic;3;5;Euro 4;Null
1234;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
1235;Petrol Hybrid;Saloon;1.5L;Automatic;4;5;Null;
1236;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Full
1237;Petrol;Hatchback;;Automatic;3;4;Null;
1238;Petrol;SUV;3.5L;Automatic;5;5;Euro 4;Full
1239;Diesel;Hatchback;2.0L;Manual;5;5;Euro 4;Null
1240;Diesel;Saloon;2.0L;Automatic;4;5;Euro 6;Full
1241;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1242;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
1243;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
1245;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
1246;Petrol;SUV;2.0L;Manual;5;5;Euro 4;Null
1247;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
1248;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
1249;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
1250;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1251;Petrol;Hatchback;1.2L;Manual;3;4;Euro 6;Null
1252;Petrol;Hatchback;1.2L;Manual;3;4;Euro 5;Full
1253;Diesel;SUV;3.0L;Automatic;5;5;Euro 6;Full
1254;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Full
1255;Petrol;Hatchback;1.2L;Manual;3;4;Euro 5;Full
1256;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1257;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
1259;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1260;Petrol;Hatchback;1.6L;Manual;3;5;Euro 4;Null
1261;Petrol;Hatchback;1.4L;Manual;5;5;Euro 6;Null
1262;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1263;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
1264;Diesel;Hatchback;1.6L;Automatic;5;5;Euro 5;Null
1265;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
1266;Petrol;Coupe;3.0L;Automatic;2;4;Euro 2;Null
1267;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1268;Petrol;SUV;1.6L;Manual;5;5;Euro 5;Full
1269;Petrol;Hatchback;1.4L;Automatic;5;5;Euro 4;Null
1270;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1271;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
1273;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
1274;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1275;Diesel;SUV;2.0L;Automatic;5;5;Euro 5;Full
1276;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
1277;Diesel;Saloon;1.6L;Automatic;4;5;Euro 6;Null
1278;Petrol;SUV;4.4L;Automatic;5;5;Euro 3;Null
1279;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
1280;Diesel;Convertible;2.0L;Automatic;2;4;Euro 5;Full
1281;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1282;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1283;Petrol;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1284;Diesel;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1285;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
1287;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1288;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1289;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Full
1290;Diesel;SUV;1.6L;Manual;5;5;Euro 5;Null
1291;Petrol;Hatchback;1.2L;Manual;3;4;Euro 6;Null
1292;Petrol;SUV;1.6L;Manual;5;7;Euro 5;Full
1293;Diesel;Hatchback;1.6L;Manual;3;4;Euro 5;Null
1294;Petrol;Hatchback;1.2L;Automatic;;5;Null;
1295;Diesel;Coupe;1.5L;Manual;3;5;Euro 5;Full
1296;Petrol;Estate;1.6L;Automatic;5;5;Euro 5;Full
1297;Petrol;Hatchback;1.2L;Automatic;3;4;Euro 6;Null
1298;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1299;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
1301;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
1302;Petrol;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1303;Petrol;Hatchback;1.2L;Manual;3;4;Euro 5;Null
1304;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1305;Petrol;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1306;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Full
1307;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1308;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
1309;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1310;Diesel;MPV;1.5L;Manual;5;5;Euro 4;Null
1311;Petrol;Convertible;3.0L;Automatic;2;4;Euro 4;Null
1312;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1313;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
1315;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
1316;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Full
1317;Petrol;Hatchback;1.0L;Manual;5;5;Euro 5;Full
1318;Diesel;Convertible;2.0L;Automatic;2;4;Euro 5;Full
1319;Diesel;SUV;2.2L;Manual;5;5;Euro 5;Null
1320;Petrol;MPV;1.4L;Manual;5;5;Euro 6;Null
1321;Petrol;MPV;3.3L;Automatic;5;7;Euro 3;Full
1322;Petrol;Convertible;3.5L;Automatic;2;4;Euro 4;Null
1323;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1324;Petrol;Hatchback;0.9L;Manual;5;5;Euro 6;Null
1325;Petrol;Coupe;2.0L;Automatic;2;3;Euro 6;Full
1326;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
1327;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
1329;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1330;Petrol;Hatchback;1.8L;Automatic;5;5;Null;
1331;Diesel;Hatchback;1.9L;Manual;5;5;Euro 4;Null
1332;Petrol;Hatchback;2.0L;Automatic;3;4;Euro 6;Null
1333;Petrol;SUV;1.2L;Manual;5;5;Euro 6;Null
1334;Petrol;SUV;4.4L;Automatic;5;5;Euro 3;Null
1335;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
1336;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
1337;Diesel;SUV;1.6L;Manual;5;5;Euro 5;Null
1338;Petrol;Estate;1.6L;Manual;5;5;Euro 4;Null
1339;Petrol;Saloon;2.4L;Automatic;4;5;Euro 5;Null
1340;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1341;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1343;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1344;Petrol;Convertible;3.0L;Automatic;2;4;Euro 4;Null
1345;Petrol;Hatchback;1.0L;Manual;5;4;Euro 4;Full
1346;Diesel;Hatchback;1.7L;Manual;5;5;Euro 5;Null
1347;Petrol;SUV;0.9L;Manual;5;5;Euro 6;Null
1348;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1349;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1350;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
1351;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1352;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1353;Petrol;Coupe;2.5L;Manual;2;4;Null;
1354;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1355;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1357;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1358;Diesel;MPV;2.0L;Automatic;5;7;Euro 5;Null
1359;Diesel;Saloon;2.1L;Automatic;4;5;Euro 5;Null
1360;Petrol;Hatchback;1.0L;Manual;5;5;Euro 4;Null
1361;Petrol;Hatchback;1.0L;Manual;5;5;Euro 6;Null
1362;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
1363;Petrol;Hatchback;1.0L;Manual;5;4;Euro 5;Null
1364;Petrol;Hatchback;1.1L;Manual;5;5;Euro 6;Null
1365;Petrol;Saloon;2.0L;Automatic;4;5;Euro 4;Null
1366;Diesel;Saloon;2.1L;Automatic;4;5;Euro 4;Full
1367;Petrol;Convertible;1.2L;Manual;2;4;Euro 5;Null
1368;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
1369;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1371;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1372;Petrol;Hatchback;1.0L;Manual;5;4;Euro 4;Null
1373;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
1374;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
1376;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
1377;Petrol;MPV;2.0L;Automatic;5;5;Euro 4;Null
1378;Petrol;Hatchback;1.4L;Manual;3;5;Euro 5;Null
1379;Petrol;Hatchback;2.0L;Manual;3;4;Euro 6;Null
1380;Petrol;Saloon;1.8L;Manual;4;5;Euro 3;Null
1381;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
1382;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
1383;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1385;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1386;Diesel;Coupe;2.0L;Manual;2;4;Euro 5;Null
1387;Petrol;Hatchback;1.4L;Manual;3;4;Euro 5;Null
1388;Diesel;Estate;2.2L;Automatic;5;5;Euro 5;Null
1389;Petrol;Hatchback;1.4L;Automatic;3;5;Euro 4;Null
1390;Petrol;Hatchback;1.0L;Manual;5;4;Euro 4;Null
1391;Petrol;Hatchback;1.2L;Automatic;5;5;Euro 4;Null
1392;Petrol;Saloon;2.0L;Automatic;4;5;Euro 3;Null
1393;Petrol;SUV;1.6L;Manual;5;5;Euro 5;Null
1394;Diesel;SUV;1.6L;Manual;5;5;Euro 4;Full
1395;Petrol;SUV;3.0L;Automatic;5;5;Euro 3;Null
1396;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
1397;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
1399;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
1400;Diesel;Saloon;2.1L;Manual;4;5;Euro 4;Null
1401;Diesel;Hatchback;1.7L;Manual;5;5;Euro 5;Null
1402;Petrol;Saloon;1.3L;Manual;4;;Null;
1403;Petrol;Saloon;2.0L;Manual;4;5;Euro 2;Null
1404;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
1405;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
1406;Petrol;Saloon;2.0L;Manual;4;5;Euro 2;Null
1407;Petrol;Hatchback;1.4L;Manual;3;4;Euro 4;Null
1408;Diesel;Saloon;2.0L;Manual;4;5;Euro 4;Null
1409;Petrol;Hatchback;1.3L;Manual;3;5;Euro 3;Null
1410;Petrol;Hatchback;1.1L;Manual;3;5;Euro 5;Null
1411;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
1413;Petrol;Hatchback;1.0L;Manual;3;5;Euro 4;Null
1414;Diesel;Hatchback;1.5L;Manual;3;5;Euro 5;Null
1415;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1416;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
1417;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
1418;Petrol;Hatchback;1.6L;Manual;5;5;Euro 2;Null
1419;Diesel;Hatchback;1.4L;Manual;5;5;Euro 4;Null
1420;Diesel;Hatchback;2.0L;Manual;5;5;Euro 5;Null
1421;Diesel;MPV;2.0L;Manual;5;7;Euro 4;Null
1422;Petrol;Hatchback;1.4L;Manual;3;5;Euro 5;Null
1423;Petrol;Estate;2.4L;Automatic;5;5;Euro 3;Null
1424;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
1425;Petrol;Hatchback;1.0L;Manual;3;5;Euro 4;Null
1427;Petrol;Hatchback;1.5L;Manual;5;5;Euro 6;Full
1428;Petrol;Hatchback;1.0L;Manual;5;4;Euro 5;Null
1429;Petrol;Hatchback;2.8L;Manual;5;5;Euro 4;Null
1430;Diesel;Hatchback;2.0L;Manual;5;5;Euro 5;Full
1431;Petrol;Hatchback;1.1L;Manual;3;5;Euro 5;Null
1449;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1450;Petrol;Coupe;1.8L;Automatic;2;4;Euro 4;Full
1451;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
1452;Petrol;Saloon;2.0L;Manual;4;5;Euro 2;Null
1453;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
1455;Petrol;Hatchback;1.0L;Manual;3;5;Euro 4;Null
1456;Petrol;Hatchback;1.0L;Manual;3;4;Euro 5;Null
1457;Petrol;Hatchback;1.4L;Manual;3;4;Euro 5;Null
1458;Petrol;SUV;3.2L;Automatic;5;5;Euro 4;Null
1459;Petrol;Hatchback;1.5L;Manual;3;5;Euro 4;Null
1460;Diesel;Hatchback;1.8L;Manual;5;5;Euro 4;Null
1461;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1462;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
1463;Petrol;Saloon;1.8L;Automatic;4;5;Euro 5;Full
1464;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1465;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
1466;Petrol;Estate;2.4L;Automatic;5;5;Euro 3;Null
1467;Petrol;Hatchback;1.0L;Manual;3;5;Euro 4;Null
1469;Petrol;Hatchback;1.5L;Manual;5;5;Euro 6;Full
1470;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1471;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
1472;Petrol;Hatchback;1.6L;Manual;3;4;Euro 5;Null
1488;Diesel;Hatchback;1.6L;Manual;3;5;Euro 5;Null
1490;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
1491;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
1492;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
1493;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
1494;Diesel;Hatchback;1.5L;Manual;3;5;Euro 5;Null
1495;Petrol;Convertible;1.2L;Manual;2;4;Euro 5;Null
1497;Petrol;Hatchback;1.0L;Manual;3;5;Euro 4;Null
1498;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1499;Diesel;SUV;1.5L;Manual;5;5;Euro 4;Null
1500;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1501;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1502;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
1503;Petrol;MPV;1.2L;Manual;5;5;Euro 4;Full
1504;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1505;Diesel;Estate;;Manual;;;Null;
1506;Diesel;Saloon;1.9L;Manual;4;5;Euro 4;Null
1507;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
1508;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
1509;Petrol;Hatchback;1.0L;Manual;3;5;Euro 4;Null
1511;Petrol;Hatchback;1.5L;Manual;5;5;Euro 6;Full
1512;Diesel;Hatchback;2.0L;Manual;5;5;Euro 4;Null
1513;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
1514;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
1515;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
1516;Petrol;Hatchback;1.6L;Manual;3;4;Euro 4;Null
1517;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
1518;Diesel;Hatchback;1.5L;Manual;5;5;Euro 4;Null
1519;Diesel;Hatchback;1.6L;Automatic;5;5;Euro 5;Null
1520;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
1521;Diesel;MPV;1.9L;Manual;5;5;Euro 4;Null
1522;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
