Index;Fuel type;Body type;Engine;Gearbox;Doors;Seats;Emission;Service history
95;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
96;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
98;Petrol;Hatchback;1.2L;Manual;5;5;euro 6;Null
99;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
100;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
101;Diesel;Saloon;1.5L;Manual;4;5;Null;
102;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
103;Petrol;Saloon;3.2L;Automatic;4;5;Euro 4;Null
104;Petrol;Saloon;1.8L;Automatic;4;5;Euro 3;Null
105;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
106;Petrol;Saloon;2.0L;Manual;4;5;Euro 5;Null
107;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
108;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
109;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
110;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
112;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
113;Petrol;Hatchback;1.6L;Manual;3;5;Euro 3;Null
114;Diesel;Hatchback;2.5L;Manual;5;;Euro 2;Null
115;Petrol;Saloon;1.9L;Manual;4;5;Euro 3;Null
116;Petrol;Hatchback;1.6L;Manual;3;4;Euro 3;Null
117;Petrol;Hatchback;1.6L;Manual;3;4;Euro 4;Null
118;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Full
119;Diesel;SUV;2.2L;Manual;5;5;Euro 5;Null
120;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Full
121;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
122;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
123;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
124;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
126;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
127;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
128;Diesel;Hatchback;2.0L;Manual;5;5;Euro 4;Null
129;Petrol;Saloon;3.0L;Automatic;4;5;Euro 3;Null
130;Petrol;SUV;2.0L;Automatic;5;5;Euro 3;Null
131;Petrol;Hatchback;1.2L;Manual;5;4;Euro 4;Null
132;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
133;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
134;Petrol;Hatchback;1.6L;Manual;3;4;Euro 3;Null
135;Petrol;Hatchback;1.2L;Automatic;3;5;Euro 4;Null
136;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
137;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
138;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
140;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
141;Petrol;Hatchback;1.1L;Manual;5;4;Euro 4;Null
142;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
143;Petrol;Hatchback;1.0L;Manual;3;5;Euro 4;Null
144;Petrol;Hatchback;1.5L;Manual;5;5;Euro 4;Full
